timestamp,action,hours_open,x_exchange,y_exchange,x_price,y_price,x_funding_rate,y_funding_rate,receiver,x_is_long,y_is_long,exit_reason,reason
2025-11-22 00:42:02.858719,hold,,hyperliquid,lighter,2766.6,2769.67,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:43:02.858977,hold,,hyperliquid,lighter,2767.7,2770.22,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:44:02.859220,hold,,hyperliquid,lighter,2768.1,2771.12,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:45:02.859453,hold,,hyperliquid,lighter,2769.1,2768.83,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:46:02.859703,hold,,hyperliquid,lighter,2767.0,2766.84,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:47:02.859963,hold,,hyperliquid,lighter,2764.9,2765.31,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:48:02.860204,hold,,hyperliquid,lighter,2763.8,2766.48,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:49:02.860447,hold,,hyperliquid,lighter,2764.6,2766.51,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:50:02.860690,hold,,hyperliquid,lighter,2764.4,2765.17,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:51:02.860930,hold,,hyperliquid,lighter,2762.7,2769.29,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:52:02.861181,hold,,hyperliquid,lighter,2767.2,2768.82,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:53:02.861419,hold,,hyperliquid,lighter,2767.0,2765.6,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:54:02.861670,hold,,hyperliquid,lighter,2763.7,2761.48,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:55:02.861905,hold,,hyperliquid,lighter,2759.4,2764.34,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
